Study,Methodological aspects,Methodological aspects,Methodological aspects,Methodological aspects,Methodological aspects,Significant findings,Significant findings,Significant findings
Unnamed: 0_level_1,No. of subjects (females),Mean Age,Age-range,Statistical Threshold and analysis method,Seeds for connectivity analysis,Seed,Target,Connectivity in DEP vs HC
???,MDD = 15 (9 F),27,18-60,Seed to voxel CT p < 0.01 k by 3dclustsim CDT p < 0.05,AMG,L AMG,Cerebellum,Lower
???,MDD = 15 (9 F),27,18-60,Seed to voxel CT p < 0.01 k by 3dclustsim CDT p < 0.05,AMG,L AMG,Lingual gyrus,Lower
???,MDD = 15 (9 F),27,18-60,Seed to voxel CT p < 0.01 k by 3dclustsim CDT p < 0.05,AMG,L AMG,Middle occipital gyrus,Lower
???,MDD = 15 (9 F),27,18-60,Seed to voxel CT p < 0.01 k by 3dclustsim CDT p < 0.05,AMG,R AMG,"Inferior, middle and orbital FC",Lower
???,MDD = 15 (11 F),29,18-60,"Seed to AMG, PST, DMTHAL CT?",pgACC,pgACC,B DMTHAL,Lower
???,MDD = 15 (11 F),29,18-60,"Seed to AMG, PST, DMTHAL CT?",pgACC,pgACC,L PST,Lower
???,"Total Sample (LAMS youth) = 42 (18 F), (MDD = 12)",14.32,9.9-17.7,"Seed to mask P < 0.005 CDT, P < 0.05 CT with AlphaSim","AMG to mask including, striatum, PFC, mPFC, OFC, vlPFC, dACC, insula",AMG,R posterior insula1,Lower
???),"MDD = 10 (7 F) (from non MDD at T1, 10 converted (CTV))",11.5,8-14,"Seed to voxel CT FDR p <?, Bonferroni corrected CDT p < 0.001","DMN (mean of dmPFC, PCC), dlPFC, sgACC, AMG",,No group differences between CTV and HC reported,
???,Comm. Sample (Wisconsin Study of Families and Work) = 57 (28 F),18.44,12-17,"Seed to voxel CT p < 0.05, k by 3dClustStim and 3dFWHMx, CDT NR",AMG,AMG,vmPFC2,Higher
???,"Total sample = 129, MDD = 14","16.46 for rs-MRI, 18.7 for first onset MDD",NR,"Seed to voxel FWE corrected (GRF), CDT p < 0.001","AMG, NAcc, VS",AMG,Whole AMG and CM AMG - temporal and insular cortex connectivity at age 16 mediated the relationship between maternal aggression and MDD onset at age 19,Whole AMG and CM AMG - temporal and insular cortex connectivity at age 16 mediated the relationship between maternal aggression and MDD onset at age 19
???,MDD = 48 (29 F),16.1,12-19,"Seed to voxel CT p < 0.025 k by MC, CDP p < 0.05",AMG,R AMG,B dlPFC,Lower
???,MDD = 48 (29 F),16.1,12-19,"Seed to voxel CT p < 0.025 k by MC, CDP p < 0.05",AMG,R AMG,B vlPFC,Lower
???,MDD = 48 (29 F),16.1,12-19,"Seed to voxel CT p < 0.025 k by MC, CDP p < 0.05",AMG,R AMG,B vmPFC,Lower
???,MDD = 48 (29 F),16.1,12-19,"Seed to voxel CT p < 0.025 k by MC, CDP p < 0.05",AMG,L AMG,L dlPFC,Lower
