Study,Methodological aspects,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Significant findings,Unnamed: 8_level_0,Unnamed: 9_level_0
Unnamed: 0_level_1,No. of subjects (females),Mean Age,Age-range,Task,Statistical Threshold and analysis method,ROI for activation analysis,Contrast,Regions,Recruitment/connectivity in SU vs HC
???,"AUD = 21 (9 F), CUD = 29 (7 F)","AUD = 16.5, CUD = 16.2",14-18,Affective Stroop task,WB and ROI WB: CT FWE k by 3dClustSim p < 0.001 ROI: CDT p < 0.02,AMG,Positive > negative,AMG???,Higher
???,"AUD = 21 (9 F), CUD = 29 (7 F)","AUD = 16.5, CUD = 16.2",14-18,Affective Stroop task,WB and ROI WB: CT FWE k by 3dClustSim p < 0.001 ROI: CDT p < 0.02,AMG,Positive > neutral,AMG,Higher
???,"AUD = 21 (9 F), CUD = 29 (7 F)","AUD = 16.5, CUD = 16.2",14-18,Affective Stroop task,WB and ROI WB: CT FWE k by 3dClustSim p < 0.001 ROI: CDT p < 0.02,AMG,Incongruent > congruent,B dlPFC???,Lower
???,"AUD = 21 (9 F), CUD = 29 (7 F)","AUD = 16.5, CUD = 16.2",14-18,Affective Stroop task,WB and ROI WB: CT FWE k by 3dClustSim p < 0.001 ROI: CDT p < 0.02,AMG,Incongruent > congruent,B precuneus/PCC,Lower
???,"AUD = 21 (9 F), CUD = 29 (7 F)","AUD = 16.5, CUD = 16.2",14-18,Affective Stroop task,WB and ROI WB: CT FWE k by 3dClustSim p < 0.001 ROI: CDT p < 0.02,AMG,Incongruent > congruent,R MFG,Lower
???,"AUD = 21 (9 F), CUD = 29 (7 F)","AUD = 16.5, CUD = 16.2",14-18,Affective Stroop task,WB and ROI WB: CT FWE k by 3dClustSim p < 0.001 ROI: CDT p < 0.02,AMG,Incongruent > congruent,R PCC,Lower
???,"AUD = 21 (9 F), CUD = 29 (7 F)","AUD = 16.5, CUD = 16.2",14-18,Affective Stroop task,WB and ROI WB: CT FWE k by 3dClustSim p < 0.001 ROI: CDT p < 0.02,AMG,Incongruent > congruent,R IPL,Lower
???,"AUD = 21 (9 F), CUD = 29 (7 F)","AUD = 16.5, CUD = 16.2",14-18,Affective Stroop task,WB and ROI WB: CT FWE k by 3dClustSim p < 0.001 ROI: CDT p < 0.02,AMG,Incongruent > congruent,R IPL,Lower
???,"AUD = 21 (9 F), CUD = 29 (7 F)","AUD = 16.5, CUD = 16.2",14-18,Affective Stroop task,WB and ROI WB: CT FWE k by 3dClustSim p < 0.001 ROI: CDT p < 0.02,AMG,Incongruent > congruent,R MTG,Lower
???,"AUD = 21 (9 F), CUD = 29 (7 F)","AUD = 16.5, CUD = 16.2",14-18,Affective Stroop task,WB and ROI WB: CT FWE k by 3dClustSim p < 0.001 ROI: CDT p < 0.02,AMG,Incongruent > congruent,L PHG,Lower
???,"AUD = 21 (9 F), CUD = 29 (7 F)","AUD = 16.5, CUD = 16.2",14-18,Affective Stroop task,WB and ROI WB: CT FWE k by 3dClustSim p < 0.001 ROI: CDT p < 0.02,AMG,Incongruent > congruent,R PCC???,Higher
???,"AUD = 21 (9 F), CUD = 29 (7 F)","AUD = 16.5, CUD = 16.2",14-18,Affective Stroop task,WB and ROI WB: CT FWE k by 3dClustSim p < 0.001 ROI: CDT p < 0.02,AMG,Incongruent > congruent,B Precuneus,Higher
???,"AUD = 21 (9 F), CUD = 29 (7 F)","AUD = 16.5, CUD = 16.2",14-18,Affective Stroop task,WB and ROI WB: CT FWE k by 3dClustSim p < 0.001 ROI: CDT p < 0.02,AMG,Incongruent > congruent,R IPL,Higher
???,"AUD = 21 (9 F), CUD = 29 (7 F)","AUD = 16.5, CUD = 16.2",14-18,Affective Stroop task,WB and ROI WB: CT FWE k by 3dClustSim p < 0.001 ROI: CDT p < 0.02,AMG,Incongruent > congruent,R MTG,Higher
???,"AUD = 21 (9 F), CUD = 29 (7 F)","AUD = 16.5, CUD = 16.2",14-18,Affective Stroop task,WB and ROI WB: CT FWE k by 3dClustSim p < 0.001 ROI: CDT p < 0.02,AMG,Incongruent > congruent,L Cerebellum,Higher
???,"AUD = 21 (9 F), CUD = 29 (7 F)","AUD = 16.5, CUD = 16.2",14-18,Affective Stroop task,WB and ROI WB: CT FWE k by 3dClustSim p < 0.001 ROI: CDT p < 0.02,AMG,Incongruent > congruent,L Culmen,Higher
???,Binge drinkers = 23(16 F),18.8,18-20,Affective Go/No-go,ROI CT FWE p < 0.05 CDT Z > 2.3,"PFC, NAcc, AMG",Negative > neutral,dlPFC???,Lower
???,Binge drinkers = 23(16 F),18.8,18-20,Affective Go/No-go,ROI CT FWE p < 0.05 CDT Z > 2.3,"PFC, NAcc, AMG",Negative > neutral,dmPFC,Lower
???,Binge drinkers = 23(16 F),18.8,18-20,Affective Go/No-go,ROI CT FWE p < 0.05 CDT Z > 2.3,"PFC, NAcc, AMG",Negative > neutral,ACC,Lower
