Study,Methodological aspects,Methodological aspects,Methodological aspects,Methodological aspects,Methodological aspects,Significant findings,Significant findings,Significant findings
Unnamed: 0_level_1,No. of subjects (females),Mean Age,Age-range,Statistical Threshold and analysis method,Seeds for connectivity analysis,Seed,Target,Connectivity in SU vs HC
???,"T1 (imaging): SUD = 18 (8 F) (5 weeks abstinent), T2 (imaging): 12 SUD (5 F) (13 weeks abstinent), T3 follow up at 6 months to record relapse (12 abstainers, 6 Relapsers)",22.05,18-25,Seed to voxel CT FWE p < 0.025 k by MC CDT p < 0.005,"NAcc, sgACC",,No group differences in rsFC reported at T1 between SUD and HC,No group differences in rsFC reported at T1 between SUD and HC
???,"T1 (imaging): SUD = 18 (8 F) (5 weeks abstinent), T2 (imaging): 12 SUD (5 F) (13 weeks abstinent), T3 follow up at 6 months to record relapse (12 abstainers, 6 Relapsers)",22.05,18-25,Seed to voxel CT FWE p < 0.025 k by MC CDT p < 0.005,"NAcc, sgACC",NAcc,PCC,Higher (Relapsers > HC)
???,"T1 (imaging): SUD = 18 (8 F) (5 weeks abstinent), T2 (imaging): 12 SUD (5 F) (13 weeks abstinent), T3 follow up at 6 months to record relapse (12 abstainers, 6 Relapsers)",22.05,18-25,Seed to voxel CT FWE p < 0.025 k by MC CDT p < 0.005,"NAcc, sgACC",sgACC,FPC,
???,"T1 (imaging): SUD = 18 (8 F) (5 weeks abstinent), T2 (imaging): 12 SUD (5 F) (13 weeks abstinent), T3 follow up at 6 months to record relapse (12 abstainers, 6 Relapsers)",22.05,18-25,Seed to voxel CT FWE p < 0.025 k by MC CDT p < 0.005,"NAcc, sgACC",NAcc,FPC,Greater reduction from T1 to T2 (Relapsers > HC)
???,"T1 (imaging): SUD = 18 (8 F) (5 weeks abstinent), T2 (imaging): 12 SUD (5 F) (13 weeks abstinent), T3 follow up at 6 months to record relapse (12 abstainers, 6 Relapsers)",22.05,18-25,Seed to voxel CT FWE p < 0.025 k by MC CDT p < 0.005,"NAcc, sgACC",NAcc,PCC,Greater reduction from T1 to T2 (Relapsers > HC)
???,"T1 (imaging): SUD = 18 (8 F) (5 weeks abstinent), T2 (imaging): 12 SUD (5 F) (13 weeks abstinent), T3 follow up at 6 months to record relapse (12 abstainers, 6 Relapsers)",22.05,18-25,Seed to voxel CT FWE p < 0.025 k by MC CDT p < 0.005,"NAcc, sgACC",sgACC,FPC,Greater reduction from T1 to T2 (Relapsers > HC)
???,Binge drinkers = 39 (10 F),25.9,21-34,Seed to voxel and PFC mask Mask: CT FWE p < 0.05 WB: CT p < 0.05 k by MC CDT p < 0.001,AMG,R AMG,OFC,Lower
???,Smokers = 11 (?F),23.7,18-39,Seed to voxel CT p < 0.05CDT p < 0.001,"DMN, ACC",R AMG,ACC,Higher (abstinent smokers > nonsmokers)
???,Smokers = 11 (?F),23.7,18-39,Seed to voxel CT p < 0.05CDT p < 0.001,"DMN, ACC",DMN,ACC,Higher (abstinent smokers > nonsmokers)
