Study,Methodological aspects,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Significant findings,Unnamed: 8_level_0,Unnamed: 9_level_0
Unnamed: 0_level_1,No. of subjects (females),Mean Age,Age-range,Task,Statistical Threshold and analysis method,ROI for activation analysis,Contrast,Regions,Recruitment/connectivity in SU vs HC
???,Social drinkers = 38 (13 F),25.19,21-35,Passive odor response,ROI CT FDR p < 0.05 CDT p < 0.001,mPFC,Craving inducing cues,Negative urgency traits were predictive of increased activation in the bilateral vmPFC in response to alcoholic odors vs sham odor and of subjective craving for alcohol.,Negative urgency traits were predictive of increased activation in the bilateral vmPFC in response to alcoholic odors vs sham odor and of subjective craving for alcohol.
???,Heavy cannabis smokers = 15 (1 F),25,NR,Masked facial affect paradigm (gender discrimination at the end of the image presentation),WB and ROI WB: CT p < 0.05 k > = 20 CDT p < 0.005 ROI: CT p < 0.05 k > = 20,"AMG, Cingulate gyrus",Masked angry faces,Midanterior cingulate,Lower
???,Heavy cannabis smokers = 15 (1 F),25,NR,Masked facial affect paradigm (gender discrimination at the end of the image presentation),WB and ROI WB: CT p < 0.05 k > = 20 CDT p < 0.005 ROI: CT p < 0.05 k > = 20,"AMG, Cingulate gyrus",Masked angry faces,Post cingulate???,Higher
???,Heavy cannabis smokers = 15 (1 F),25,NR,Masked facial affect paradigm (gender discrimination at the end of the image presentation),WB and ROI WB: CT p < 0.05 k > = 20 CDT p < 0.005 ROI: CT p < 0.05 k > = 20,"AMG, Cingulate gyrus",Masked angry faces,AMG,Lower
???,Heavy cannabis smokers = 15 (1 F),25,NR,Masked facial affect paradigm (gender discrimination at the end of the image presentation),WB and ROI WB: CT p < 0.05 k > = 20 CDT p < 0.005 ROI: CT p < 0.05 k > = 20,"AMG, Cingulate gyrus",Masked happy faces,Mid cingulate,Higher
???,Heavy cannabis smokers = 15 (1 F),25,NR,Masked facial affect paradigm (gender discrimination at the end of the image presentation),WB and ROI WB: CT p < 0.05 k > = 20 CDT p < 0.005 ROI: CT p < 0.05 k > = 20,"AMG, Cingulate gyrus",Masked happy faces,Post cingulate,Higher
???,Heavy cannabis smokers = 15 (1 F),25,NR,Masked facial affect paradigm (gender discrimination at the end of the image presentation),WB and ROI WB: CT p < 0.05 k > = 20 CDT p < 0.005 ROI: CT p < 0.05 k > = 20,"AMG, Cingulate gyrus",Masked happy faces,Amygdala,Lower
???,Heavy cannabis smokers = 15 (1 F),25,NR,Masked facial affect paradigm (gender discrimination at the end of the image presentation),WB and ROI WB: CT p < 0.05 k > = 20 CDT p < 0.005 ROI: CT p < 0.05 k > = 20,"AMG, Cingulate gyrus",Masked angry faces,"L limbic lobe, cingulate gyrus",Lower
???,Heavy cannabis smokers = 15 (1 F),25,NR,Masked facial affect paradigm (gender discrimination at the end of the image presentation),WB and ROI WB: CT p < 0.05 k > = 20 CDT p < 0.005 ROI: CT p < 0.05 k > = 20,"AMG, Cingulate gyrus",Masked angry faces,"Precuneus, R parietal lobe",Lower
???,Heavy cannabis smokers = 15 (1 F),25,NR,Masked facial affect paradigm (gender discrimination at the end of the image presentation),WB and ROI WB: CT p < 0.05 k > = 20 CDT p < 0.005 ROI: CT p < 0.05 k > = 20,"AMG, Cingulate gyrus",Masked angry faces,"L parietal lobe, SPL",Lower
???,Heavy cannabis smokers = 15 (1 F),25,NR,Masked facial affect paradigm (gender discrimination at the end of the image presentation),WB and ROI WB: CT p < 0.05 k > = 20 CDT p < 0.005 ROI: CT p < 0.05 k > = 20,"AMG, Cingulate gyrus",Masked angry faces,"R posterior lobe, cerebellar tonsil",Higher
