ADNI2 cohort,ADNI2 cohort,ADNI2 cohort,ADNI2 cohort,ADNI2 cohort,ADNI2 cohort,ADNI2 cohort,ADNI2 cohort
Measure,Feature optimization methods,AD against CN,AD against CN,AD against CN,MCI against CN,MCI against CN,MCI against CN
Measure,Feature optimization methods,ACC (%) Testing,SEN (%),SPEC (%),ACC (%) Testing,SEN (%),SPEC (%)
univariate t-test with p-value = 0.05,univariate t-test,89.92±1.23,86.51±6.10,84.17±6.87,85.81±3.53,86.67±2.71,85.83±6.69
univariate t-test with p-value = 0.05,univariate t-test + LASSO,96.14±7.71,98.33±4.61,93.67±5.83,90.48±5.46,90.83±2.92,90.52±3.93
univariate t-test with p-value = 0.05,univariate t-test + SVM-RFE,98.86±4.52,100.00±0.00,97.50±2.91,98.57±4.52,100.00±0.00,97.50±7.91
univariate t-test with p-value = 0.01,univariate t-test,84.29±3.25,78.33±3.01,90.00±2.84,83.24±4.94,87.50±3.27,80.83±5.09
univariate t-test with p-value = 0.01,univariate t-test + LASSO,94.05±7.72,94.17±2.45,93.33±4.05,85.71±3.97,81.67±5.99,90.00±2.50
univariate t-test with p-value = 0.01,univariate t-test + SVM-RFE,98.86±4.52,100.00±0.00,97.50±2.91,98.57±4.52,100.00±0.00,97.50±7.91
univariate t-test with p-value = 0.001,univariate t-test,85.68±3.89,85.00±4.12,85.17±4.10,83.81±3.47,91.67±4.69,73.80±6.27
univariate t-test with p-value = 0.001,univariate t-test + LASSO,89.05±2.86,84.17±3.06,93.33±2.08,93.57±3.38,97.50±1.97,90.00±1.61
univariate t-test with p-value = 0.001,univariate t-test + SVM-RFE,98.86±4.52,100.00±0.00,97.50±2.91,98.57±4.52,100.00±0.00,97.50±7.91
In-house cohort,In-house cohort,In-house cohort,In-house cohort,In-house cohort,In-house cohort,In-house cohort,In-house cohort
Measure,Feature optimization methods,AD against CN,AD against CN,AD against CN,MCI against CN,MCI against CN,MCI against CN
Measure,Feature optimization methods,ACC (%) Testing,SEN (%),SPEC (%),ACC (%) Testing,SEN (%),SPEC (%)
univariate t-test with p-value = 0.05,univariate t-test,94.45±2.06,83.67±8.78,96.67±5.67,87.20±2.35,78.85±6.90,87.50±5.72
univariate t-test with p-value = 0.05,univariate t-test + LASSO,96.16±3.48,95.14±4.61,96.67±3.73,87.62±4.49,83.44±6.17,88.43±5.05
univariate t-test with p-value = 0.05,univariate t-test + SVM-RFE,98.70±2.25,99.50±7.91,97.33±3.44,94.16±5.67,92.69±3.17,95.63±4.39
univariate t-test with p-value = 0.01,univariate t-test,91.00±2.79,84.03±6.47,94.67±5.61,84.16±4.82,78.79±5.83,88.75±5.49
univariate t-test with p-value = 0.01,univariate t-test + LASSO,96.63±3.16,93.89±4.59,98.00±5.71,89.40±4.16,88.94±3.69,89.40±5.04
univariate t-test with p-value = 0.01,univariate t-test + SVM-RFE,98.70±2.25,99.50±7.91,97.33±3.44,94.16±5.67,92.69±3.17,95.63±4.39
univariate t-test with p-value = 0.001,univariate t-test,91.87±3.57,84.92±4.06,94.04±3.79,84.03±3.94,78.50±6.47,88.43±6.02
univariate t-test with p-value = 0.001,univariate t-test + LASSO,94.08±3.14,90.14±5.06,96.04±4.83,88.12±4.01,86.98±3.58,91.24±4.86
univariate t-test with p-value = 0.001,univariate t-test + SVM-RFE,98.70±2.25,99.50±7.91,97.33±3.44,94.16±5.67,92.69±3.17,95.63±4.39
