Feature Measure,ELM,ELM,ELM,ELM,ELM,ELM,ELM,ELM,SVM-RBF,SVM-Linear
Feature Measure,ACC Training (%),ACC Testing (%),p-value,SEN Testing (%),SPEC Testing (%),BAC Testing (%),PPV Testing (%),NPV Testing (%),ACC Testing (%),ACC Testing (%)
ReHo,89.57±4.10,84.29±1.23,0.001,85.00±1.10,83.33±1.57,84.17±1.76,88.00±2.74,88.56±1.61,66.43±5.49,71.43±3.65
fALFF,83.16±2.18,85.07±2.34,0.001,95.00±5.41,73.33±4.05,84.17±1.76,84.00±8.34,95.00±10.45,71.90±3.91,75.00±3.05
ALFF,85.30±5.29,85.71±1.14,0.001,97.50±3.91,70.00±5.41,83.75±1.32,82.00±6.32,97.50±7.91,75.38±1.67,76.62±7.90
Degree Centrality,87.63±1.05,87.15±1.53,0.001,90.00±2.92,80.00±7.21,85.00±2.15,88.33±10.56,90.00±12.91,70.24±6.04,73.57±4.78
LeftHC-based rsFC,93.51±4.91,85.51±3.16,0.001,85.00±4.91,86.67±1.24,85.53±2.15,92.00±10.33,85.00±12.91,71.67±4.26,73.33±4.58
RightHC-based rsFC,96.49±4.14,87.75±1.63,0.001,80.00±5.54,93.33±4.05,86.67±1.76,96.00±8.43,80.00±10.54,59.52±1.35,65.71±2.15
LeftPCC-based rsFC,81.36±4.26,84.47±2.17,0.001,90.00±2.91,80.00±7.21,85.00±2.15,88.00±10.33,90.00±12.91,71.67±4.82,73.33±2.93
RightPCC-based rsFC,83.33±1.12,81.75±3.35,0.001,85.00±5.31,86.67±1.29,85.83±2.15,92.00±10.33,85.00±12.91,71.19±1.92,71.19±1.92
LeftPCu-based rsFC,94.04±6.76,83.49±2.08,0.001,82.50±2.04,90.00±6.10,86.25±2.01,94.00±6.96,82.50±12.43,64.05±3.11,70.48±6.66
RightPCu-based rsFC,87.42±4.90,85.71±3.64,0.001,87.50±13.18,83.33±3.62,85.42±2.22,90.00±5.40,87.50±3.18,71.90±2.18,70.71±5.87
Concatenation,94.07±3.81,89.92±1.23,0.001,86.51±6.10,84.17±6.87,84.58±2.01,94.00±2.74,87.40±3.18,76.19±2.09,77.62±2.31
