Study,Subjects,Task,Main findings
Active sensorimotor tasks,Active sensorimotor tasks,Active sensorimotor tasks,Active sensorimotor tasks
???,14 people with RRMS15 HC,"Flexion-extension of the last four fingers of the right, dominant hand","People with MS showed increased fMRI activation in several contralateral and bilateral regions of the sensorimotor network, correlated with structural damage"
???,14 people with RRMS8 HC,Task 1: flexion–extension of the last four fingersTask 2: flexion–extension of the third finger (actively or passively),"Increased fMRI activity was present in RRMS people in ipsilateral premotor, motor and parietal cortex with increasing EDSS score and with increasing hand motor impairment (assessed using FT). Brain activity patterns differed according to structural injury and hand disability"
???,30 people with PPMS15 HC,"Task 1: flexion–extension of the last four fingers of the right, dominant handTask 2: flexion–extension of the right footTask 3: tasks 1 & 2 together","People with PPMS showed increased fMRI activation vs HC of brain regions within both traditional motor planning and execution regions, and several multimodal cortical regions in the temporal, parietal, and occipital lobes"
???,13 people with SPMS15 HC,"Task 1: flexion–extension of the last four fingers of the right, dominant handTask 2: flexion–extension of the right foot","During hand movement, people with SPMS showed more significant activations of fronto-parietal regions. During foot movement, people with SPMS had more significant activations of sensorimotor cortex and thalamus. Increased fMRI activation correlated with structural damage"
???,16 people with CIS15 HC,"Flexion-extension of the last four fingers of the right, dominant hand","People with CIS had more significant fMRI activations of primary and secondary sensorimotor cortex, correlated with axonal injury"
???,16 people with RRMS16 HC,"Task 1: flexion–extension of the last four fingers of the right, dominant handTask 2: manipulation of various daily-life objects","Regions activated by people with MS during the performance of the simple motor task (cerebellar, parietal and frontal regions) were part of more complex pathways, recruited by HC when performing the object manipulation task"
???,76 people with MS15 HC,"Flexion-extension of the last four fingers of the right, dominant hand",People with MS and lesions in the pyramidal tract had more significant activations of contralateral/ipsilateral sensorimotor regions and ipsilateral precuneus. Pyramidal tract lesion load correlated with primary sensorimotor activity
???,14 people with RRMS11 HC,Writing “8″ repeatedly on a paper in a cursive manner,"During the writing task, people with MS had higher fMRI activity in bilateral motor cortex. They also had lower FC between motor regions and contralateral cerebellum, and higher FC with the ipsilateral cerebellum"
???,57 people with MS and different phenotypes15 HC,"Flexion-extension of the last four fingers of the right, dominant hand","Early in MS disease course, increased and more widespread activation of areas typically devoted to motor tasks was found. With increasing disability and in progressive MS, bilateral activation of these regions was seen, as well as recruitment of areas that HC use for novel/complex tasks"
???,14 people with PPMS18 HC,Auditory-cued and passive dorsi-plantar flexion of the right foot,"People with PPMS showed greater fMRI activation than HC with passive ankle movements in temporal, insular and subcortical regions. fMRI response to active and passive ankle movements in frontal regions was lower in patients with higher EDSS score and greater lesion load. Cerebellar activation was inversely correlated with T25FW"
???,18 people with RRMS18 HC,Right index finger to thumb opposition,"Greater fMRI activity was found in people with MS in motor, cingulate, thalamic and insular regions during a motor task. A positive correlation between ipsilateral motor cortex activity and corpus callosum damage was detected"
???,16 people with RRMS14 HC,"Task 1: flexion–extension of the last four fingers of the right, dominant handTask 2: mirror neuron system task: observation of a movie showing the hand of another subject performing task 1","During the simple motor task, people with MS had more significant fMRI activation of sensorimotor regions, as well as of several visual, parietal and frontal areas that HC activated during the mirror neuron system task"
???,56 people with MS60 HC,"Flash light-cued flexion–extension of the last four fingers of the right, dominant hand","Increased fMRI activation was found in people with MS in the bilateral motor circuit, with a stronger modulatory effect of age in MS vs HC. Increased activation in fronto-striatal regions correlated with higher 9HPT scores."
???,56 people with MS60 HC,"Flash light-cued flexion–extension of the last four fingers of the right, dominant hand","In the same MS group as (???), decreased task-associated deactivation was found during a motor task in regions specialized to hand movement control"
???,61 people with MS74 HC,"Flash light-cued flexion–extension of the last four fingers of the right, dominant hand","Increased effective connectivity was found during a motor task among regions of the sensorimotor network, which correlated with lesional and corticospinal tract damage"
???,17 people with BMS15 people with SPMS17 HC,"Flexion-extension of the last four fingers of the right, dominant hand","Increased fMRI activity in classical motor regions was found in both people with BMS and PMS. Compared with people with BMS, SPMS had increased activations of inferior frontal and middle occipital regions"
???,15 people with CIS10 HC,Auditory-cued flexion–extension of the fingers of one hand,"In people with CIS, during a simple movement task, fMRI activity was detected in the anterior cingulate cortex, usually involved in complex movements"
