Study,Subjects,Main findings
???,14 people with CIS31 people with MS41 HC,"CIS showed no CI, but increased RS FC in many networks. MS showed CI but no RS FC changes compared to HC. RS FC changes were related to white matter damage"
???,33 people with SPMS24 people with PPMS24 HC,"Lower RS FC was found in progressive MS in anterior DMN areas, most pronounced in cognitively impaired vs preserved people with MS. DMN reductions were related to PASAT and word list scores, and to white matter damage"
???,25 people with MS30 HC,"In memory-preserved people with MS, hippocampal connectivity was reduced, in relation to hippocampal atrophy"
???,16 people with MS16 HC,"DMN showed increased RS FC in relation to the severity of CI. Results were especially significant for inferior parietal, posterior cingulate and medial prefrontal cortex"
???,45 people with MS,"In this one-group correlational study, higher hippocampal connectivity was related to better relational memory"
???,18 cognitively impaired people with MS18 cognitively preserved people with MS18 HC,"Reduced ACC-DMN RS FC was worst in cognitively impaired compared to preserved people with MS, but was also seen in all people with MS vs HC. RS FC was not related to lesions or global atrophy, but did relate to local atrophy"
???,31 people with MS31 HC,Rest phases of a task were used to analyze ACC RS FC with task-related areas. Increased ACC RS FC was related to better processing speed performance
???,30 people with MS30 HC,"Results showed worst RS FC and cognitive changes in male people, showing reduced connectivity which was related to visuospatial memory"
???,28 people with MS28 HC,DMN and attention network integration (within-network RS FC) was reduced and related to the severity of CI
???,30 cognitively impaired people with MS30 cognitively preserved people with MS18 HC,Cognitively impaired people with MS showed reduced RS FC compared to preserved MS across all resting state networks. Preserved people with MS showed lower RS FC in the FPN compared to HC. RS FC was related to atrophy and lesions
???,15 cognitively impaired people with MS20 cognitively preserved people with MS20 HC,"RS FC was increased in cognitively preserved people with MS vs HC, but decreased in cognitively impaired vs preserved MS. Results were mainly seen in the DMN and attention networks"
???,16 people with MS20 HC,Increased network modularity was related to worse PASAT performance
???,20 memory impaired people with MS23 memory preserved people with MS,Memory impairment was related to lower DMN RS FC
???,128 people with MS50 HC,"Ventral stream decreased eigenvector centrality related to worse cognition, sensorimotor decreases related to worse EDSS scores. Regions with altered centrality showed increased thalamic RS FC"
???,48 people with MS24 HC,"Worse PASAT scores were related to lower thalamic RS FC with thalamus, cerebellum and widespread cortical areas"
???,18 people with MS16 HC,Worse reaction time parameters were related to reduced RS FC of (pre)frontal areas
???,57 people with MS28 HC,Increased RS FC between hippocampus and posterior cingulate cortex was related to memory impairment. Hippocampal activation was not related to hippocampal RS FC
