Region,Z-ratio,p-value
supramarginal,31.99,7.403e-223
insula,25.55,2.136e-142
pericalcarine,23.49,2.173e-120
caudal anterior cingulate,22.33,7.522e-109
pars opercularis,20.44,3.361e-91
precentral,18.99,9.397e-79
amygdala,16.71,5.183e-61
putamen,15.74,3.2709999999999997e-54
transverse temporal,15.69,8.081e-54
pars triangularis,15.37,1.1269999999999999e-51
postcentral,13.33,6.645e-39
bankssts,11.04,1.0650000000000001e-26
superior parietal,8.36,2.695e-15
paracentral,7.36,8.015e-12
cuneus,6.39,7.479e-09
lingual,5.93,1.329e-07
caudate,5.87,1.906e-07
posterior cingulate,4.47,0.0003387
superior temporal,4.12,0.001655
