Unnamed: 0,CADASIL group (n = 22),Control group (n = 44),p-values
Male/Female,13/9,26/18,1
Age at visit (years),49.0 ± 14.2,48.5 ± 13.7,0.873
"Family history, n (%)",19 (86.4),-,-
Age at first symptom (years),45.7 ± 13.3,-,-
Previous stroke or TIA (times),1.7 ± 2.7,-,-
"Vascular disease risk factors, n (%)",10 (45.5),-,-
"Headache, n (%)",3 (13.6),-,-
Fazekas score,2.1 ± 1.2,-,-
MMSE,23.3 ± 6.3,28.6 ± 1.1,0.001
MoCA,20.7 ± 7.9,27.9 ± 1.4,0.000
HAMD,7.0 ± 7.1,4.0 ± 1.8,0.067
HAMA,5.9 ± 6.0,3.7 ± 1.6,0.108
NIHSS,1.2 ± 1.9,-,-
mRs,1.3 ± 1.2,-,-
