Unnamed: 0,Variable,Unnamed: 2
Demographics,"Age (all group), n = 115",60.45 ± 13.75
,Gender,
,"- Females, n = 64 (55.7%)",
,"- Males, n = 51 (44.3%)",
,IQ,118.84 ± 8.13
,Years of education,16.19 ± 2.12
Neuropsychological performance (domain z-scores),Processing speed,-0.08 ± 0.82
,Vocabulary,0.26 ± 0.82
,Episodic memory,-0.04 ± 0.97
,Fluid reasoning,-0.12 ± 0.73
Gait,UW velocity (m/s),0.96 ± 0.18
,UW stride length (m),1.2 ± 0.23
,UW stride regularity,0.76 ± 0.11
,UW step symmetry,0.81 ± 0.23
,UW step regularity,0.63 ± 0.16
,DT velocity (m/s),0.84 ± 0.13
,DT stride length (m),1.15 ± 0.16
,DT stride regularity (a.u),0.61 ± 0.19
,DT step symmetry (a.u),0.55 ± 0.19
,DT step regularity (a.u),0.92 ± 0.34
