Baseline: PD (n = 30); HC (n = 15),Baseline: PD (n = 30); HC (n = 15),Baseline: PD (n = 30); HC (n = 15),Baseline: PD (n = 30); HC (n = 15),Baseline: PD (n = 30); HC (n = 15)
Unnamed: 0_level_1,PD,HC,Statistic,p
Gender (M:F),24:6,8 : 7,,
Age (years) a,55.4 ± 7.1,53.15 ± 11.4,t(19.674) = 0.696,0.494
Disease duration (years) a,5.8 ± 2.2,,,
UPDRS-III a,31.3 ± 10.6,,,
UPDRS-III Bradykinesia-Rigidity a,22.4 ± 8.1,,,
UPDRS-III Tremor a,6.2 ± 5.3,,,
Hoehn & Yahr Scale b,2.0 (0.0),,,
LED a,670.3 ± 361.8,,,
,,,,
Follow-Up: PDFU (n = 15),Follow-Up: PDFU (n = 15),Follow-Up: PDFU (n = 15),Follow-Up: PDFU (n = 15),Follow-Up: PDFU (n = 15)
,Baseline,Follow-Up,Statistic,p
,,,,
Gender (M:F),12:3,12:3,,
Age (years) a,53.0 ± 7.2,54.7 ± 7.1,t(14) = 26.445,< 0.001 *
Disease duration (years) a,6.0 ± 2.2,7.7 ± 2.0,t(14) = 26.234,< 0.001 *
UPDRS-III a,31.4 ± 12.0,35.9 ± 10.9,t(14) = 2.003,0.065
UPDRS-III Bradykinesia-Rigidity a,22.4 ± 9.6,25.2 ± 8.9,t(14) = 1.925,0.075
UPDRS-III Tremor a,6.9 ± 4.5,8.3 ± 4.2,t(14) = 1.514,0.152
Hoehn & Yahr Scale b,2.0 (0.0),2.0 (0.0),Z = 1.7,0.083
LED a,771.7 ± 386.5,906.3 ± 235.7,t(14) = 2.156,0.046 *
