No.,Region Label,p-Value,No..1,Region Label.1,p-Value.1,No..2,Region Label.2,p-Value.2,No..3,Region Label.3,p-Value.3
1,Precentral_L,0.191,31,Cingulum_Ant_L,0.485,61,Parietal_Inf_L,0.971,91.0,Cerebelum_Crus1_L,0.57
2,Precentral_R,0.115,32,Cingulum_Ant_R,0.911,62,Parietal_Inf_R,0.862,92.0,Cerebelum_Crus1_R,0.862
3,Frontal_Sup_L,0.061,33,Cingulum_Mid_L,0.653,63,SupraMarginal_L,0.912,93.0,Cerebelum_Crus2_L,0.352
4,Frontal_Sup_R,0.138,34,Cingulum_Mid_R,0.82,64,SupraMarginal_R,0.162,94.0,Cerebelum_Crus2_R,0.662
5,Frontal_Sup_Orb_L,0.052,35,Cingulum_Post_L,0.998,65,Angular_L,0.452,95.0,Cerebelum_3_L,0.01
6,Frontal_Sup_Orb_R,0.294,36,Cingulum_Post_R,0.146,66,Angular_R,0.414,96.0,Cerebelum_3_R,0.539
7,Frontal_Mid_L,0.365,37,Hippocampus_L,0.847,67,Precuneus_L,0.89,97.0,Cerebelum_4_5_L,0.653
8,Frontal_Mid_R,0.333,38,Hippocampus_R,0.389,68,Precuneus_R,0.396,98.0,Cerebelum_4_5_R,0.412
9,Frontal_Mid_Orb_L,0.733,39,ParaHippocampal_L,0.052,69,Paracentral_Lobule_L,0.771,99.0,Cerebelum_6_L,0.425
10,Frontal_Mid_Orb_R,0.779,40,ParaHippocampal_R,0.455,70,Paracentral_Lobule_R,0.91,100.0,Cerebelum_6_R,0.868
11,Frontal_Inf_Oper_L,0.8,41,Amygdala_L,0.176,71,Caudate_L,0.012,101.0,Cerebelum_7b_L,0.044
12,Frontal_Inf_Oper_R,0.47,42,Amygdala_R,0.386,72,Caudate_R,0.279,102.0,Cerebelum_7b_R,0.423
13,Frontal_Inf_Tri_L,0.3,43,Calcarine_L,0.49,73,Putamen_L,0.143,103.0,Cerebelum_8_L,0.951
14,Frontal_Inf_Tri_R,0.417,44,Calcarine_R,0.714,74,Putamen_R,0.008,104.0,Cerebelum_8_R,0.9
15,Frontal_Inf_Orb_L,0.283,45,Cuneus_L,0.732,75,Pallidum_L,0.646,105.0,Cerebelum_9_L,0.836
16,Frontal_Inf_Orb_R,0.973,46,Cuneus_R,0.75,76,Pallidum_R,0.561,106.0,Cerebelum_9_R,0.096
17,Rolandic_Oper_L,0.075,47,Lingual_L,0.685,77,Thalamus_L,0.99,107.0,Cerebelum_10_L,0.903
18,Rolandic_Oper_R,0.131,48,Lingual_R,0.256,78,Thalamus_R,0.594,108.0,Cerebelum_10_R,0.836
19,Supp_Motor_Area_L,0.698,49,Occipital_Sup_L,0.615,79,Heschl_L,0.095,109.0,Vermis_1_2,0.649
20,Supp_Motor_Area_R,0.473,50,Occipital_Sup_R,0.608,80,Heschl_R,0.16,110.0,Vermis_3,0.329
21,Olfactory_L,0.982,51,Occipital_Mid_L,0.514,81,Temporal_Sup_L,0.045,111.0,Vermis_4_5,0.762
22,Olfactory_R,0.913,52,Occipital_Mid_R,0.09,82,Temporal_Sup_R,0.83,112.0,Vermis_6,0.772
23,Frontal_Sup_Medial_L,0.34,53,Occipital_Inf_L,0.487,83,Temporal_Pole_Sup_L,0.07,113.0,Vermis_7,0.738
24,Frontal_Sup_Medial_R,0.183,54,Occipital_Inf_R,0.282,84,Temporal_Pole_Sup_R,0.917,114.0,Vermis_8,0.867
25,Frontal_Med_Orb_L,0.928,55,Fusiform_L,0.749,85,Temporal_Mid_L,0.9,115.0,Vermis_9,0.592
26,Frontal_Med_Orb_R,0.769,56,Fusiform_R,0.938,86,Temporal_Mid_R,0.113,116.0,Vermis_10,0.272
27,Rectus_L,0.096,57,Postcentral_L,0.878,87,Temporal_Pole_Mid_L,0.364,,,
28,Rectus_R,0.871,58,Postcentral_R,0.108,88,Temporal_Pole_Mid_R,0.86,,,
29,Insula_L,0.075,59,Parietal_Sup_L,0.984,89,Temporal_Inf_L,0.566,,,
30,Insula_R,0.744,60,Parietal_Sup_R,0.144,90,Temporal_Inf_R,0.343,,,
