Peak-based localization,HS,Cluster extent,T score,MNI coordinates,MNI coordinates,MNI coordinates,FWE P-value
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,x,y,z,Unnamed: 7_level_1
Non-memory anosognosia,Non-memory anosognosia,Non-memory anosognosia,Non-memory anosognosia,Non-memory anosognosia,Non-memory anosognosia,Non-memory anosognosia,Non-memory anosognosia
Reduced connectivity,Reduced connectivity,Reduced connectivity,Reduced connectivity,Reduced connectivity,Reduced connectivity,Reduced connectivity,Reduced connectivity
Right lingual seed,,,,,,,
Middle frontal gyrus (BA 9),R,590,5.26,32,44,30,0.002
Middle frontal gyrus (BA 9),R,,4.50,24,54,22,
Superior frontal gyrus (BA 10),R,,3.38,12,54,32,
Right precuneus seed,,,,,,,
Transverse temporal gyrus (BA 41),R,802,4.98,40,−32,10,0.001
Thalamus,R,,3.99,24,−24,16,
Caudate,R,,3.99,22,−36,10,
,,,,,,,
Increased connectivity,Increased connectivity,Increased connectivity,Increased connectivity,Increased connectivity,Increased connectivity,Increased connectivity,Increased connectivity
,,,,,,,
Left anterior cingulate cortex seed,,,,,,,
Superior frontal gyrus (BA 10),R,434,4.35,20,58,18,0.012
Middle frontal gyrus (BA 9),R,,3.88,40,46,20,
Middle frontal gyrus (BA 9),R,,3.63,28,40,32,
Left medial prefrontal cortex seed,,,,,,,
Middle frontal gyrus (BA 9),R,318,4.59,26,36,22,0.048
Middle frontal gyrus (BA 9),R,,3.71,30,44,30,
Superior frontal gyrus (BA 9),R,,3.26,20,50,20,
Left hippocampus seed,,,,,,,
Caudate,L,354,3.88,−16,−38,20,0.031
Insula (BA 13),L,,3.25,−26,−36,24,
