Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,N,M,F,Agemean,AgeSD,Total Frames,PercentCensored
,,,,,,,,,,
WUSM cohort,LOAD Aβ−,,Control,131.0,41.0,90.0,66.0,6.5,164.0,14.4
,LOAD,,CDR 0,51.0,20.0,31.0,74.8,6.6,164.0,13.9
,Aβ+,,CDR 0.5,39.0,21.0,18.0,69.0,5.0,164.0,14.4
,,,CDR ≥ 1,11.0,6.0,5.0,65.2,7.0,164.0,20.1
DIAN cohort,Mutation−,Aβ−,Control,83.0,34.0,49.0,39.8,11.3,195.0,18.2
,Mutation+,Aβ−,CDR 0,40.0,21.0,19.0,31.1,8.6,183.0,17.6
,,Aβ+,CDR 0,31.0,15.0,16.0,36.8,6.7,177.0,16.4
,,,CDR 0.5,33.0,13.0,20.0,46.8,9.2,212.0,15.6
,,,CDR ≥ 1,19.0,9.0,10.0,50.2,8.6,169.0,18.5
