Network name,Seeds,MNI coordinates,MNI coordinates,MNI coordinates
Unnamed: 0_level_1,Unnamed: 1_level_1,x,y,z
Auditory network,"Heschl's gyrus, left???",−46,−20,8
,"Heschl's gyrus, right",46,−16,8
Default mode network,Posterior cingulate cortex???,1,−61,38
,Medial prefrontal cortex,1,55,−3
,"Lateral parietal, left",−39,−77,33
,"Lateral parietal, right",47,−67,29
Executive control network,"Dorsolateral prefrontal cortex, left???",−43,33,28
,"Dorsolateral prefrontal cortex, right",41,38,30
,"Posterior parietal cortex, left",−46,−58,49
,"Posterior parietal cortex, right",52,−52,45
