Channel,11 months,18 months,24 months,30 months,36 months
14,Inferior frontal gyrus,Inferior frontal gyrus,Inferior frontal gyrus,"Inferior frontal gyrus, middle frontal gyrus","Inferior frontal gyrus, middle frontal gyrus"
15,"Inferior frontal gyrus, middle frontal gyrus",Inferior frontal gyrus,Inferior frontal gyrus,Inferior frontal gyrus,Inferior frontal gyrus
16,"Inferior frontal gyrus, middle frontal gyrus","Inferior frontal gyrus, middle frontal gyrus",Inferior frontal gyrus,Inferior frontal gyrus,Inferior frontal gyrus
17,Inferior frontal gyrus,Inferior frontal gyrus,Precentral gyrus,Inferior frontal gyrus,Inferior frontal gyrus
18,"Medial temporal gyrus, superior temporal gyrus","Medial temporal gyrus, superior temporal gyrus","Middle temporal gyrus, superior temporal gyrus",Middle temporal gyrus,"Middle temporal gyrus, superior temporal gyrus"
19,"Inferior frontal gyrus, precentral gyrus","Inferior frontal gyrus, precentral gyrus","Postcentral gyrus, supramarginal gyrus","Postcentral gyrus, precentral gyrus",Precentral gyrus
20,"Postcentral gyrus, superior temporal gyrus","Postcentral gyrus, superior temporal gyrus","Middle temporal gyrus, superior temporal gyrus","Postcentral gyrus, superior temporal gyrus","Postcentral gyrus, superior temporal gyrus"
21,Middle temporal gyrus,"Middle temporal gyrus, superior temporal gyrus",Middle temporal gyrus,Middle temporal gyrus,"Middle temporal gyrus, superior temporal gyrus"
22,"Postcentral gyrus, angular gyrus","Postcentral gyrus, angular gyrus",Supramarginal gyrus,Supramarginal gyrus,"Postcentral gyrus, supramarginal gyrus"
23,"Middle temporal gyrus, superior temporal gyrus","Middle temporal gyrus, superior temporal gyrus",Middle temporal gyrus,"Superior temporal gyrus, supramarginal gyrus","Superior temporal gyrus, supramarginal gyrus"
24,"Inferior temporal gyrus, middle temporal gyrus",Middle temporal gyrus,Middle temporal gyrus,Middle temporal gyrus,Middle temporal gyrus
25,"Superior temporal gyrus, angular gyrus","Superior temporal gyrus, angular gyrus",Angular gyrus,Angular gyrus,"Angular gyrus, Supramarginal gyrus"
26,Middle temporal gyrus,"Middle temporal gyrus, angular gyrus","Angular gyrus, middle occipital gyrus",Angular gyrus,Angular gyrus
27,Superior frontal gyrus,Superior frontal gyrus,"Middle frontal gyrus, superior frontal gyrus","Middle frontal gyrus, superior frontal gyrus","Middle frontal gyrus, superior frontal gyrus"
28,"Middle frontal gyrus, superior frontal gyrus","Middle frontal gyrus, superior frontal gyrus",Middle frontal gyrus,"Middle frontal gyrus, superior frontal gyrus",Superior frontal gyrus
29,"Middle frontal gyrus, superior frontal gyrus","Middle frontal gyrus, superior frontal gyrus","Middle frontal gyrus, superior frontal gyrus",Superior frontal gyrus,Superior frontal gyrus
30,Superior frontal gyrus,Superior frontal gyrus,Superior frontal gyrus,Middle frontal gyrus,Middle frontal gyrus
31,/,/,Precentral gyrus,"Inferior frontal gyrus, middle frontal gyrus","Inferior frontal gyrus, precentral gyrus"
32,/,/,"Postcentral gyrus, supramarginal gyrus","Middle frontal gyrus, middle temporal gyrus","Middle frontal gyrus, precentral gyrus"
33,/,/,Supramarginal gyrus,Middle temporal gyrus,Postcentral gyrus
34,/,/,"Angular gyrus, supramarginal gyrus","Angular gyrus, postcentral gyrus","Postcentral gyrus, supramarginal gyrus"
35,/,/,Angular gyrus,Supramarginal gyrus,Supramarginal gyrus
36,/,/,Angular gyrus,"Angular gyrus, supramarginal gyrus",Angular gyrus supramarginal gyrus
37,/,/,"Angular gyrus, middle occipital gyrus",Angular gyrus,Angular gyrus
38,/,/,Precentral gyrus,Middle frontal gyrus,Middle frontal gyrus
39,/,/,"Postcentral gyrus, precentral gyrus","Middle frontal gyrus, precentral gyrus",Middle frontal gyrus
40,/,/,"Postcentral gyrus, supramarginal gyrus",Postcentral gyrus,"Postcentral gyrus, precentral gyrus"
41,/,/,supramarginal gyrus,Postcentral gyrus,"Postcentral gyrus, precentral gyrus"
42,/,/,"Angular gyrus, supramarginal gyrus",Supramarginal gyrus,Supramarginal gyrus
43,/,/,Angular gyrus,"Angular gyrus, supramarginal gyrus","Postcentral gyrus, supramarginal gyrus"
44,/,/,Angular gyrus,Angular gyrus,Angular gyrus
