Number,Search terms
#1,Diabetic neuropathy (MeSH)
#2,Diabetic neuropathies (MeSH)
#3,"Neuropathies.ti, ab."
#4,"Neuropathy.ti, ab."
#5,"Painful.ti, ab."
#6,Or #1-#5
#7,Acupuncture (MeSH)
#8,Acupuncture therapy (MeSH)
#9,"Acupuncture point.ti, ab."
#10,Acupuncture ear (MeSH)
#11,Electroacupuncture.ab.
#12,Moxibustion.ab.
#13,Warm acupuncture
#14,Skin acupuncture
#15,"Acupoints.ti, ab."
#16,Or #7-#15
#17,Randomised controlled trial.pt.
#18,Controlled clinical trial.pt.
#19,Clinical Trial.pt.
#20,"Trial.ti, ab."
#21,Clinical trials as topic.sh.
#22,Pragmatic clinical trial.pt.
#23,Or #17-#22
#24,Magnetic Resonance Imaging (MeSH)
#25,Functional Neuroimaging (MeSH)
#26,Functional Magnetic Resonance Imaging (MeSH)
#27,Resting state functional magnetic resonance imaging (MeSH)
#28,Or #14-#27
#29,#6 AND #16 AND #23AND#28
#30,Remove duplicates from #29
