Domain,Measures,Details
Vision,ETDRS 100 % high contrast,"Right eye, decimal acuity"
Vision,ETDRS 100 % high contrast,"Left eye, decimal acuity"
Vision,ETDRS 100 % high contrast,"Right eye, number of letters correct"
Vision,ETDRS 100 % high contrast,"Left eye, number of letters correct"
Vision,ETDRS 10 % medium contrast,"Right eye, decimal acuity"
Vision,ETDRS 10 % medium contrast,"Left eye, decimal acuity"
Vision,ETDRS 10 % medium contrast,"Right eye, number of letters correct"
Vision,ETDRS 10 % medium contrast,"Left eye, number of letters correct"
Vision,Sloan 2.5 % low contrast,"Right eye, decimal acuity"
Vision,Sloan 2.5 % low contrast,"Left eye, decimal acuity"
Vision,Sloan 2.5 % low contrast,"Right eye, number of letters correct"
Vision,Sloan 2.5 % low contrast,"Left eye, number of letters correct"
Vision,Sloan 1.25 % low contrast,"Right eye, decimal acuity"
Vision,Sloan 1.25 % low contrast,"Left eye, decimal acuity"
Vision,Sloan 1.25 % low contrast,"Right eye, number of letters correct"
Vision,Sloan 1.25 % low contrast,"Left eye, number of letters correct"
Motor,Timed 25-Foot Walk Test (T25-FW),
Motor,Nine-Hole Peg Test (9-HPT),
Fatigue,Fatigue severity scale (FSS),
Depression,Beck’s depression inventory II (BDI-II),
Cognition,Selective reminding test – long-term storage (SRT-LR),
Cognition,Selective reminding test – consistent long-term retrieval (SRT-CLTR),
Cognition,Selective reminding test – delayed recall (SRT-DR),
Cognition,Spatial recall test (SPAT),
Cognition,Spatial recall test – delayed recall (SPAT-DR),
Cognition,Symbol digit modality test (SDMT),
Cognition,Paced auditory serial addition test (PASAT),
Cognition,Word list generation test (WLG),
Brain volume,Total normalized brain volume,
Lesion load,T2-FLAIR total lesion volume,
