Group comparison,Regions???,Networks,Components,puncorr,pFDR,T,d
HC vs EDSS ≤ 1,ANG (left) – CB,DMN – CB,47 – 20,< 0.001,0.030*,4.043,0.547
HC vs EDSS ≥ 2,Frontal pole – PCG,FPN – vATT,11 – 45,< 0.001,< 0.001*,−4.429,−0.831
HC vs EDSS ≥ 2,MFG – ACG,dATT – vATT,91 – 46,< 0.001,0.088,−3.617,−0.569
HC vs EDSS ≥ 2,STG – Precentral gyrus,DMN – SMN,30 – 37,< 0.001,0.088,3.513,0.646
HC vs EDSS ≥ 2,MFG (right) – SMA,FPN – SMN,58 – 68,< 0.001,0.088,−3.286,−0.622
HC vs EDSS ≥ 2,MFG (right) – Postcentral gyrus,FPN – SMN,58 – 89,< 0.001,0.065,−3.564,−0.621
HC vs EDSS ≥ 2,ANG (right) – Lingual gyrus,DMN – VIS,31 – 81,< 0.001,0.088,−3.278,−0.638
HC vs EDSS ≥ 2,ANG (right) – LOcc,DMN – VIS,31 – 96,< 0.001,< 0.001*,−4.362,−0.759
HC vs EDSS ≥ 2,Precuneus cortex – LOcc,DMN – VIS,84 – 96,< 0.001,0.088,−3.481,−0.713
HC vs EDSS ≥ 2,Frontal pole – Frontal pole,DMN – FPN,50 – 11,< 0.001,0.088,−3.410,−0.657
EDSS ≤ 1 vs EDSS ≥ 2,ANG (left) – SMG,DMN – dATT,47 – 49,< 0.001,0.155,−3.619,−0.642
EDSS ≤ 1 vs EDSS ≥ 2,BG – Superior parietal lobule (right),BG – dATT,3 – 80,< 0.001,0.155,3.414,0.430
EDSS ≤ 1 vs EDSS ≥ 2,Lingual gyrus – Precentral gyrus (left),VIS – SMN,72 – 14,< 0.001,0.155,3.358,0.861
EDSS ≤ 1 vs EDSS ≥ 2,MFG (left) – SMA,FPN – SMN,52 – 68,< 0.001,0.155,−3.204,−0.617
EDSS ≤ 1 vs EDSS ≥ 2,MFG (right) – SMA,FPN – SMN,58 – 68,< 0.001,0.155,−3.422,−0.675
EDSS ≤ 1 vs EDSS ≥ 2,Frontal pole – Frontal pole,FPN – DMN,11 – 50,< 0.001,0.155,−3.476,−0.724
