State,Regions???,Networks,Components,puncorr.,pFDR,T,d
1,Frontal pole – PCG,FPN – vATT,11 – 45,< 0.001,0.217,−3.729,−0.769
1,STG – Precentral gyrus,DMN – SMN,30 – 37,< 0.001,0.451,−3.101,−0.656
2,Precentral gyrus – Precentral gyrus (right),SMN – SMN,37 – 12,< 0.001,0.145,−3.387,−0.757
2,ANG (right) – Precentral gyrus,DMN – SMN,53 – 37,< 0.001,0.115,−3.559,−0.761
2,MFG (right) – Postcentral gyrus,FPN – SMN,58 – 89,< 0.001,0.145,−3.210,−0.576
2,TOFC – Lingual gyrus,VIS – VIS,88 – 81,< 0.001,0.145,−3.631,−0.733
2,LOcc – Lingual gyrus,VIS – VIS,96 – 81,< 0.001,0.145,−3.210,−0.886
2,CB – Lingual gyrus,CB – VIS,27 – 81,< 0.001,0.115,−3.838,−0.901
3,MFG – SMG,dATT – dATT,91 – 49,< 0.001,0.102,3.525,0.788
3,Cuneal cortex – MFG,VIS – dATT,42 – 91,< 0.001,0.102,3.400,0.771
3,Precentral gyrus – Precentral gyrus (right),SMN – SMN,37 – 12,< 0.001,0.121,3.319,0.872
3,Precentral gyrus – Precentral gyrus (left),SMN – SMN,37 – 14,< 0.001,0.102,3.598,0.865
3,Cuneal cortex – Precentral gyrus,VIS – SMN,42 – 37,< 0.001,0.050*,4.269,0.986
3,ANG (right) – LOcc,DMN – VIS,31 – 96,< 0.001,0.102,−3.557,−0.798
4,STG – Precentral gyrus,DMN – SMN,30 – 37,< 0.001,0.134,4.006,1.034
4,Lingual gyrus – Postcentral gyrus,VIS – SMN,81 – 89,< 0.001,0.134,−3.937,−1.060
5,Frontal pole – Precentral gyrus,DMN – SMN,50 – 5,< 0.001,0.207,3.800,0.648
5,Precentral gyrus – Precentral gyrus (right),SMN – SMN,37 – 12,< 0.001,0.207,3.616,0.952
5,Precuneus cortex – Cuneal cortex,DMN – VIS,40 – 42,< 0.001,<0.001*,4.780,0.974
