Unnamed: 0,HC,Patients (Whole sample),Patients (EDSS ≤ 1),Patients (EDSS ≥ 2),p???
N,101,101,36,39,
Sex (F/M),67/34,67/34,20/16,27/12,
Age (Mean ± SD years),35.04 ± 10.33,36.11 ± 10.33,31.55 ± 6.12,40.21 ± 11.64,< 0.001*
EDSS (Median (IQR)),,1.5 (1.5),1 (1),2.5 (1),< 0.001*
Disease duration (Mean ± SD years),,7.07 ± 7.99,4.24 ± 3.46,10.86 ± 10.49,< 0.001*
"MS-specific Medication (n)If yes, which? (n)",,Yes (70),Yes (23),Yes (31),
"MS-specific Medication (n)If yes, which? (n)",,No (27),No (13),No (8),
"MS-specific Medication (n)If yes, which? (n)",,Not reported (4),,,
"MS-specific Medication (n)If yes, which? (n)",,Interferon beta (10),Interferon beta (4),Interferon beta (4),
"MS-specific Medication (n)If yes, which? (n)",,Glatiramer acetate (20),Glatiramer acetate (9),Glatiramer acetate (8),
"MS-specific Medication (n)If yes, which? (n)",,Fumarate (15),Fumarate (6),Fumarate (4),
"MS-specific Medication (n)If yes, which? (n)",,Azathioprine (1),Natalizumab (1),Azathioprine (1),
"MS-specific Medication (n)If yes, which? (n)",,Natalizumab (4),Fingolimod (2),Natalizumab (2),
"MS-specific Medication (n)If yes, which? (n)",,Fingolimod (11),Other (1),Fingolimod (6),
"MS-specific Medication (n)If yes, which? (n)",,Teriflunomide (3),,Teriflunomide (3),
"MS-specific Medication (n)If yes, which? (n)",,Other (6),,Other (3),
