No.,Regions of interest,Abbreviations,MNI coordinates,MNI coordinates,MNI coordinates
No.,Regions of interest,Abbreviations,x,y,z
1,Hippocampus,HIP,27,−15,−18
2,Parahippocampal gyrus,PHG,26,−40,−8
3,Amygdala,AMY,19,−2,−21
4,Thalamus,THA,2,−13,12
5,Ventral striatum,VS,31,−11,0
6,Middle temporal gyrus,MTG,56,−13,−10
7,Precuneus,PCU,15,−63,26
8,Anterior insula,aINS,37,1,−4
9,Dorsal anterior cingulate,dACC,10,22,27
10,Subgenual anterior cingulate,sgACC,4,15,−11
11,Orbital frontal cortex,OFC,24,32,−18
12,Ventromedial prefrontal cortex,vmPFC,8,42,−5
13,Dorsolateral prefrontal cortex,dlPFC,47,11,23
