Metrics,SNHL patients,Healthy controls,t,P-value
Left dlPFC,,,,
ALFF z-score,-0.0178 ± 0.1323,0.0300 ± 0.2434,-1.023,0.31
GM volume,0.2978 ± 0.0363,0.2959 ± 0.0388,0.224,0.824
FA value,0.0699 ± 0.0028,0.0702 ± 0.0039,-0.412,0.682
MD value,0.0007 ± 0.0001,0.0007 ± 0.0001,1.709,0.092
Right dlPFC,,,,
ALFF z-score,-0.0905 ± 0.1466,-0.0622 ± 0.2103,-0.653,0.516
GM volume,0.3225 ± 0.0425,0.3249 ± 0.0368,-0.243,0.809
FA value,0.0862 ± 0.0034,0.0875 ± 0.0046,-1.297,0.2
MD value,0.0007 ± 0.0001,0.0007 ± 0.0001,0.863,0.391
,,,,
