(A),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
ID,Node name,ID,Node name,LH normalized connection value
,,,,
18,Cingulate gyrus (CG),18,Cingulate gyrus (CG),1
17,Insular gyrus (INS),4,Orbital gyrus (OrG),0.9
14,Inferior parietal lobule (IPL),4,Orbital gyrus (OrG),0.8
18,Cingulate gyrus (CG),1,Superior frontal gyrus (SFG),0.7
18,Cingulate gyrus (CG),14,Inferior parietal lobule (IPL),0.6
16,Postcentral gyrus (PoG),15,Precuneus (PCun),0.5
3,Inferior frontal gyrus (IFG),11,Parahippocampal gyrus (PhG),0.4
14,Inferior parietal lobule (IPL),4,Orbital gyrus (OrG),0.3
2,Middle frontal gyrus (MFG),9,Inferior temporal gyrus (ITG),0.2
23,Basal ganglia (BG),3,Inferior frontal gyrus (IFG),0.1
,,,,
(B),,,,
,,,,
ID,Node name,ID,Node name,RH normalized connections value
,,,,
19,Medioventral occipital cortex (MVOcC),7,Superior temporal gyrus (STG),1
24,Thalamus (Tha),5,Precentral gyrus (PrG),0.9
11,Parahippocampal gyrus (PhG),5,Precentral gyrus (PrG),0.8
23,Basal ganglia (BG),1,Superior frontal gyrus (SFG),0.7
7,Superior temporal gyrus (STG),13,Superior parietal lobule (SPL),0.6
10,Fusiform gyrus (FuG),5,Precentral gyrus (PrG),0.5
24,Thalamus (Tha),14,Inferior parietal lobule (IPL),0.4
17,Insular gyrus (INS),5,Precentral gyrus (PrG),0.3
23,Basal ganglia (BG),14,Inferior parietal lobule (IPL),0.2
24,Thalamus (Tha),8,Middle temporal gyrus (MTG),0.1
