Category,PACG (n = 40),HC (n = 40),P
Age (year),53.93 ± 11.15,52.73 ± 7.70,0.577
Sex (male/female),24/16,26/14,0.11
Scik eyes (one/two),12/28,,
Disease duration (years),1.41 ± 2.18,,
Left IOP (mmHg),26.11 ± 13.10,12.72 ± 2.16,<0.001
Right IOP (mmHg),29.92 ± 13.82,12.92 ± 1.89,<0.001
Left VA,0.56 ± 0.42,0.90 ± 0.13,<0.001
Right VA,0.48 ± 0.35,0.97 ± 0.14,<0.001
MDVF Left (dB),−12.32 ± 6.74,−1.1 ± 0.41,<0.001
MDVF Right (dB),−12.45 ± 6.05,−1.0 ± 0.33,<0.001
Left HCDR,0.59 ± 0.22,0.35 ± 0.03,<0.001
Right HCDR,0.62 ± 0.23,0.34 ± 0.03,<0.001
Left VCDR,0.55 ± 0.23,0.34 ± 0.02,<0.001
Right VCDR,0.60 ± 0.24,0.35 ± 0.02,<0.001
Left RNFLT (μm),90.48 ± 23.51,113.73 ± 4.54,<0.001
Right RNFLT (μm),85.65 ± 23.93,112.70 ± 4.45,<0.001
