Unnamed: 0_level_0,MNI,MNI,MNI,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
Brain Area,x,y,z,Voxels,Peak T,Height Threshold PFDR value
L Lateral Parietal Seed – Healthy Participants < Patients with Schizophrenia,,,,,,
Precuneus (BA7),−4,−46,52,1459.0,−5.48,<.05
,−48,−17,50,106.0,,
,40,−22,55,104.0,,
R Parietal Operculum (BA40),66,−26,28,407.0,−4.40,<.05
R Superior Frontal Gyrus,16,−2,72,472.0,−5.10,<.05
L Postcentral Gyrus,−46,−26,36,544.0,−3.23,<.05
R Lateral Parietal Seed – Healthy Participants < Patients with Schizophrenia,,,,,,
Precuneus (BA7),0,−50,52,395.0,−4.35,<.05
L Parietal Operculum (BA40),−48,−24,34,242.0,−3.56,<.05
Posterior Cingulate Cortex Seed – Healthy Participants < Patients with Schizophrenia,,,,,,
Brain Stem,−6,−22,−28,505.0,−4.01,<.05
Medial PFC Seed – Healthy Participants < Patients with Schizophrenia,,,,,,
No significant clusters,,,,,,
