Characteristics,ORTH (n = 44),ORTH (n = 44).1,ORTH (n = 44).2,ORTH (n = 44).3,ORTH (n = 44).4,HCs (n = 49),P values
Demographic factors,,,,,,,
Sex (male/female),20/24,20/24,20/24,20/24,20/24,22/27,0.95
Age (years),Age (years),21.0 ± 0.9,21.0 ± 0.9,21.0 ± 0.9,21.0 ± 0.9,21.0 ± 2.6,0.99
,,Without separator,Without separator,24 h after with separator,24 h after with separator,,
Visual analogue scale,Visual analogue scale,13.66 ± 16.35,,20.48 ± 18.09,,‐,0.01
Visual analogue scale,Visual analogue scale,Skewness,Kurtosis,Skewness,Kurtosis,,
Visual analogue scale,Visual analogue scale,‐0.92,0.43,‐0.88,‐0.28,,
State Anxiety Scale,State Anxiety Scale,27.73 ± 11.00,27.73 ± 11.00,29.82 ± 10.48,29.82 ± 10.48,‐,0.21
State Anxiety Scale,State Anxiety Scale,Skewness,Kurtosis,Skewness,Kurtosis,,
State Anxiety Scale,State Anxiety Scale,0.02,‐0.61,0.17,‐0.53,,
