Unnamed: 0,Total (N = 46),MMT (n = 20),HT (n = 26),p value
Demographic characteristics,Demographic characteristics,Demographic characteristics,Demographic characteristics,Demographic characteristics
"Age, M ± SD",35.1 ± 10.4,33.6 ± 8.7,36.3 ± 11.6,0.39
"Female, n (%)",23 (50),9 (45),14 (54),0.55
"Years of education, M ± SD",18.9 ± 5.8,18.1 ± 3.5,19.6 ± 7.0,0.38
Lifestyle characteristics,Lifestyle characteristics,Lifestyle characteristics,Lifestyle characteristics,Lifestyle characteristics
"BMI, (kg/m2), M ± SD",24.1 ± 4.2,23.5 ± 3.4,24.6 ± 4.7,0.38
"Cigarette smokers, n (%)",4 (9),3 (15),1 (3),0.30
"Alcohol, M ± SD†",2.3 ± 2.5,3.2 ± 3.1,1.7 ± 1.7,0.08
"Physical exercise, M ± SD‡",173.0 ± 149.5,204.8 ± 156.0,149.4 ± 142.8,0.23
Days between,Days between,Days between,Days between,Days between
"First scan—second scan, M ± SD",40.6 ± 6.4,40.3 ± 5.1,40.8 ± 7.3,0.80
"First scan—first training, M ± SD",1.5 ± 2.4,1.6 ± 1.9,1.4 ± 2.7,0.80
"Last training—second scan, M ± SD",8.1 ± 6.5,7.7 ± 4.9,8.4 ± 7.6,0.74
Average number of sessions completed,29.5 ± 1.8,29.5 ± 1.5,29.4 ± 2.0,0.88
