Unnamed: 0,Total (N = 222),Non-hospitalized surgery subjects (N = 182),General practitioner subjects (N = 40)
Center,,,
"Berlin, n (%)",67 (30),67 (37),0 (0)
"Utrecht, n (%)",155 (70),115 (63),40 (100)
"Male, n (%)",140 (63),116 (63),24 (60)
"IQ, mean ± SD",105 ± 12.2,105 ± 11.5,106 ± 13.1
"Age in years, mean ± SD",71.2 ± 4.9,71.2 ± 4.9,70.7 ± 4.9
"Lowest quintile, cut-off, n (%)","≤67, 67 (23)",,
"Highest quintile, cut-off, n (%)","≥75, 68 (24)",,
Alcohol misuse,,,
"Yes, n (%)",11 (5),11 (6),0 (0)
"No, n (%)",211 (95),171 (94),40 (100)
"MMSE (cognitive impairment), mean ± SD",28.7 ± 1.4,28.7 ± 1.3,28.7 ± 1.5
"Lowest quintile, cut-off, n (%)","≤27, 46 (16)",,
"Highest quintile, cut-off, n (%)","30, 96 (34)",,
GDS (depression),,,
"Yes, n (%)",10 (5),8 (5),2 (5)
"No, n (%)",212 (95),174 (95),38 (95)
"BI (functional impairment), mean ± SD",98.4 ± 4.8,98.1 ± 5.2,99.4 ± 2.6
"Lowest quintile, cut-off, n (%)","≤99, 50 (18)",,
"Highest quintile, cut-off, n (%)","100, 229 (82)",,
History of TIA or stroke,,,
"Yes, n (%)",54 (24),51 (28),3 (8)
"No, n (%)",168 (76),131 (72),37 (92)
Physical status,,,
"Healthy, n (%)",32 (14),19 (11),13 (33)
"Unhealthy, n (%)",190 (86),163 (89),27 (67)
