Unnamed: 0_level_0,Functional connectivity strength,Functional connectivity strength,Functional connectivity strength,MST diameter (network efficiency),MST diameter (network efficiency),MST diameter (network efficiency),MST leaf fraction (network integration),MST leaf fraction (network integration),MST leaf fraction (network integration)
Unnamed: 0_level_1,adj. R2,β,Sig. (p),adj. R2,β,Sig. (p),adj. R2,β,Sig. (p)
Individual risk factors a,,,,,,,,,
Age,0.081,0.178,0.007*,0.009,−0.017,0.804,0.023,0.011,0.875
Alcohol misuse,0.077,−0.023,0.726,0.008,0.068,0.323,0.025,0.081,0.233
MMSE (cognitive impairment),0.095,0.144,0.039,0.005,0.030,0.683,0.021,0.053,0.462
GDS (depression),0.076,−0.002,0.979,0.005,0.035,0.612,0.022,0.064,0.352
BI (functional impairment),0.083,−0.082,0.220,0.013,−0.098,0.155,0.021,0.051,0.455
History of TIA or stroke,0.079,0.050,0.444,0.006,−0.040,0.555,0.023,0.069,0.311
ASA (physical status),0.081,0.068,0.310,0.005,0.038,0.591,0.02,0.046,0.51
All risk factors combined a,0.092,,,−0.004,,,0.026,,
Age,,0.183,0.007*,,−0.026,0.708,,−0.053,0.957
Alcohol misuse,,−0.081,0.233,,0.065,0.344,,0.071,0.293
MMSE (cognitive impairment),,0.147,0.036,,0.026,0.721,,0.060,0.403
GDS (depression),,−0.019,0.779,,0.003,0.967,,0.076,0.285
BI (functional impairment),,−0.081,0.233,,−0.097,0.176,,0.082,0.248
History of TIA or stroke,,0.042,0.524,,−0.041,0.554,,0.077,0.263
ASA (physical status),,0.067,0.326,,0.039,0.584,,0.027,0.7
