Unnamed: 0,Cohort (eligible subjects; N = 554),Included subjects (N = 222),Statistics
Center,,,
"Berlin, n (%)",322 (58),67 (30),"χ2 = 70.53, p = 0.000*"
"Utrecht, n (%)",232 (42),155 (70),"χ2 = 70.53, p = 0.000*"
"Male, n (%)",338 (61),140 (63),"χ2 = 6.75, p = 0.009*"
"IQ, mean ± SD",105 ± 12.7,105 ± 12.2,"t = 0.00, p = 1.000"
"Age in years, mean ± SD",72.1 ± 5.0,71.2 ± 4.9,"t = 2.30, p = 0.022*"
Alcohol misuse,,,"χ2 = 0.00, p = 0.975"
"Yes, n (%)",25 (5),11 (5),
"No, n (%)",485 (95),211 (95),
MMSE (cognitive impairment),28.6 ± 1.4,28.7 ± 1.4,"t = -0.90, p = 0.369"
GDS (depression),,,"χ2 = 0.00, p = 0.975"
"Yes, n (%)",24 (5),10 (5),
"No, n (%)",447 (95),212 (95),
"BI (functional impairment), mean ± SD",98.2 ± 5.0,98.4 ± 4.8,"t = -0.51, p = 0.604"
History of TIA or stroke,,,"χ2 = 7.56, p = 0.006*"
"Yes, n (%)",183 (33),54 (24),
"No, n (%)",371 (67),168 (76),
Physical status,,,"χ2 = 12.42, p = 0.000*"
"Healthy, n (%)",45 (8),32 (14),
"Unhealthy, n (%)",509 (92),190 (86),
