AAL,Coordinates of maximum,Coordinates of maximum,Coordinates of maximum,Cluster size,t-value
AAL,X,Y,Z,Cluster size,t-value
PD-A> HC,,,,,
Left MFG /IFG,−42,30,21,251.0,3.91
Right MFG/SFG/IFG,18,24,54,249.0,4.03
Left ANG/IPL,−60,−60,27,234.0,4.02
Left MFG/ SFG,−6,30,33,168.0,4.23
Bilateral PCUN,0,−54,66,131.0,4.12
PD-A< HC,,,,,
Right Cbe6/Cbe4-5/CPL/Ver6,18,−66,−27,100.0,−3.54
PD-A> PD-NA,,,,,
Bilateral CAU /ACC,6,3,9,225.0,4.3
Bilateral SFG,12,60,36,104.0,4.11
Left MFG /IFG,−48,12,36,108.0,3.69
PD-A< PD-NA,,,,,
Right Cbe6/Cbe4-5/CPL/Ver6,12,−69,−18,117.0,−4.07
PD-NA<HC,,,,,
Bilateral PCUN/limbic lobe,−3,−63,6,477.0,−4.8
