Unnamed: 0_level_0,OCD (n = 88),OCD (n = 88),HC (n = 88),HC (n = 88),Significance
Characteristic,Mean,SD,Mean,SD,P Value
Gender (Male: Female),56:32,–,56:32,–,1.000
Age (Years),29.16,8.71,27.88,10.58,0.38
Education (Years),13.91,2.88,–,–,–
Duration of Illness (Years),7.32,5.58,–,–,–
Y-BOCS Total,21.51,5.37,–,–,–
Obsessions,13.14,5.05,–,–,–
Compulsions,8.37,5.34,–,–,–
HAMD-17,8.74,4.921,–,–,–
HAMA-14,8.78,4.46,–,–,–
Current Treatment Status,n,%,–,–,–
Drug Free (>4 Weeks),88,100,–,–,–
Medication Naive,74,88.09,–,–,–
Previous Treatment History,n,%,–,–,–
Clomipramine,4,4.55,–,–,–
Paroxetine,3,3.41,–,–,–
Fluoxetine,3,3.41,–,–,–
Sertraline,3,3.41,–,–,–
Quetiapine,1,1.14,–,–,–
