Characteristics,MDD (n = 34),NC (n = 34),t/χ2,P-value
Age (years),29.41 ± 8.27???,30.09 ± 10.88???,−0.29,0.77???
Gender (F/M),25/9,24/10,0.07,0.787???
Education (years),13.00 ± 3.44???,13.68 ± 3.07???,−0.86,0.395???
Illness duration (months),7.81 ± 8.46???,,,
HDRS-17,21.85 ± 2.25???,,,
SIE_time,1.17 ± 0.37???,1.10 ± 0.32???,−0.95,0.35???
SIE_accuracy,−0.05 ± 0.06???,−0.03 ± 0.04???,1.57,0.12???
Semantic VFT,18.15 ± 5.77???,21.47 ± 4.82???,2.44,0.02???
Phonemic VFT,8.15 ± 4.34???,9.91 ± 3.98???,1.86,0.07???
SDMT,53.21 ± 12.28???,62.03 ± 14.12???,3.40,0.00???
