Median ± (IQRs),Median ± (IQRs),Median ± (IQRs),Median ± (IQRs),P value,P value,P value,F value,P value
Characteristic,t0,t1,t2,t0 vs t1,t0 vs t2,t1 vs t2,F value,P value
E2 (pmol/L),265.0 (112.3–391.8),81.0 (52.0–125.0),138.0 (84.5–195.0),0.041,0.188,0.506,5.089,0.012c
FSH (IU/L),6.9 (3.9–40.1),70.1 (10.3–89.9),64.6 (19.9–112.2),0.031,0.385,0.965,2.958,0.075c
LH (IU/L),7.3 (2.2–25.4),34.5 (5.8–51.5),7.6 (3.4–29.0),0.662,0.926,0.156,3.344,0.106c
Hemoglobin (g/L),124.0 (110.0–134.0),121.0 (113.3–126.0),133.0 (123.5–142.0),0.989,0.325,0.003,3.876,0.075c
Fasting glucose (mmol/L),5.2 (4.7–7.2),5.4 (4.8–5.7),5.4 (5.2–5.7),0.677,0.523,0.832,0.215,0.808a
Total cholesterol (mmol/L),4.9 (4.3–5.7),5.0 (4.5–5.4),4.9 (4.7–5.2),0.745,0.732,0.99,0.076,0.927c
Triglycerides (mmol/L),1.49 (0.9–3.0),2.0 (1.44–3.70),2.1 (1.90–2.70),0.041,1.0,0.194,3.281,0.052a
SAS (score),29.0 (27.0–31.8),32 (32.0–35.0),27.0 (23.3–34.8),0.186,0.659,0.098,1.548,0.228a
SDS (score),27.5 (24.5–32.0),34.0 (33.0–34.0),29.0 (24.0–41.5),0.133,0.221,0.677,1.418,0.257c
Stroop-C (sec),15.3 (13.5–18.4),14.4 (12.9–15.5),14.4 (12.9–15.5),0.48,0.493,0.985,0.34,0.714c
Stroop-W (sec),22.0 (18.5–26.1),18.9 (17.1–20.1),19.0 (14.4–19.6),0.235,0.179,0.876,1.156,0.327c
Stroop-I (sec),31.5 (24.9–33.0),29.0 (25.0–34.7),24.0 (20.0–42.0),0.999,0.992,0.991,0.001,0.999c
NST (sec),47.2 (39.8–62.0),41.0 (39.5–51.5),53.0 (40.0–71.0),0.973,0.187,0.224,1.101,0.345c
DST (score),49.5 (34.0–61.8),54.0 (45.0–64.0),59.0 (43.0–60.0),0.798,0.855,0.672,0.093,0.912c
LTT (sec),59.8 (46.1–83.2),40.0 (28.2–48.5),39.0 (30.8–56.0),0.01,0.012,0.978,5.013,0.013c
MMSE (score),28.0 (27.0–29.5),29.0 (28.0–29.5),27.5 (26.3–29.8),0.431,0.301,0.879,0.619,0.545c
SDT (sec),37.4 (33.3–42.3),33.5 (30.9–38.7),32.0 (27.8–36.9),0.451,0.247,0.659,0.728,0.491c
WDT (score),24.0 (22.0–27.0),21.0 (17.5–27.5),18.0 (11.5–22.5),0.278,0.002,0.082,5.595,0.008c
