Demographics Mean (Standard Deviation),Schizophrenia (n = 35),Healthy controls (n = 34),Statistics
Age (years),39.4(11.2),35.7 (9.8),"t(64) = 1.42, p = 0.16"
Gender (male/female),26/9,19/12,"χ2 = 1.28, p = 0.28"
Race/Ethnicity (%White%Black%Hispanic),31%43%34%,26%48%13%,"χ2 = 0.25, p = 0.61χ2 = 0.20, p = 0.65χ2 = 4.1, p = 0.04"
Participant Education (years),14.2 (2.7),15.1(1.9),"t(61) = 1.5, p = 0.14"
Participant SES,31.2 (13.4),35.3(12.9),"t(64) = -1.3, p = 0.21"
Edinburgh Handedness Score,17.5(4.2),15.4(6.2),"t(52) = 1.6, p = 0.12"
IQ (WRAT scaled score),96.1(10.6),99.4(13.6),t(51) = -1.0p = 0.30
Parent SES,39.6(15.1),43.2(13.9),"t(62) = -1.0, p = 0.32"
PANSS Positive Symptoms,15.0(4.6),–,
PANSS Negative Symptoms,13.5(4.1),–,
PANSS Total Scores,56.6(14.1),–,
"Antipsychotic dose (CPZ equivalents, mg)",643.6(1070.6),–,
